"metabolite","estimate","std_err","wald_p","log_wald_p"
"pg408_pg182226_42",0.205473180083409,0.10358326879007,0.0472946245486311,1.32518821785695
"pe406_pe180226_43",-0.003867801256432,0.104599497956397,0.970503149237755,0.0130030510078592
"pc362_pc180182_29",0.0920247282700533,0.102275346590338,0.368240374375428,0.43386859658383
"pi343_pi161182_60",0.0518080147450143,0.103718893429851,0.617424283983333,0.209416293233326
"pg363_pg181182_48",0.0490849447107948,0.103158695352925,0.634202797646208,0.19777184651008
"pc405_pc180225_30",-0.159422184400159,0.103331097721284,0.122872341108201,0.910545866958631
"pi342_pi160182_62",-0.117993997490268,0.103942842626315,0.256299257093463,0.591252652655698
"pe405_pe180225_46",0.0642053398697094,0.104849723901993,0.540302357787746,0.267363137269293
"pe384_pe180204_45",0.102018120024201,0.106166850131664,0.336591113134183,0.472897354693338
"pc340_pc160180_32",0.0282689313581219,0.100682269898209,0.778883992752319,0.108527221479229
"ps386_ps180226_55",-0.0502148621063528,0.10312704385165,0.626313362618346,0.203208322372613
"pc374_pc170204_22",-0.200895565054579,0.102840703849104,0.0507646938931504,1.29443822823128
"pc384_pc180224_35",-0.121419833874152,0.104411582446587,0.244871613897318,0.611061556411715
"pc361_pc180181_34",-0.0787698694461861,0.104870098612835,0.452581352793652,0.344303343765408
"dg386_dg18320389",-0.0520144448945304,0.10361679706207,0.615675580779069,0.210648071263501
"dg386_dg18220488",-0.0377947863190703,0.103572810260005,0.715178357827505,0.145585636295896
"pe361_pe180181_47",0.0901573582548701,0.103033198520683,0.381556428488323,0.418441225025302
"smd181220_",-0.0975100125527832,0.105045403551678,0.353269922130037,0.451893337399636
"smd181241_",-0.0883460008211315,0.103927276059848,0.395283274166162,0.403091561804311
"dg385_dg18220391",0.011979617239007,0.103301970546477,0.90767871373631,0.0420678492139077
"dg342_dg16018290",-0.0610344058593225,0.101885306717373,0.54913945839112,0.260317348958917
"pc394_pc190204_33",-0.149273102623317,0.10290268687473,0.146884601094866,0.833023731848076
"dg363_dg18118292",-0.0124661913510501,0.102453239544768,0.903154917932618,0.0442377488750957
"dg362_dg18128193",-0.0655544551430539,0.102401274309214,0.522060615478546,0.28227906895268
"pc4210_pc204226_2",-0.0463919953137838,0.102107685940506,0.649581386584237,0.187366428070408
"tg5811tg160_205_226_19",-0.00778711794043175,0.101800803811903,0.939026343203945,0.0273222239770946
"tg5812tg182_205_205_1",-0.020787754808949,0.103218188963266,0.840388757661736,0.0755197660211178
"tg5811tg183_204_204_7",-0.00427053298622551,0.103999128793093,0.967245542953078,0.0144632628218566
"tg6214tg182_226_226_15",-0.0116602157946833,0.102790928129085,0.909684714372639,0.0411091027712431
"tg548_6",-0.0108851833581378,0.102402497464187,0.9153458975854,0.0384147605502889
"tg6012tg160_226_226_29",-0.0179405730941162,0.102405822504133,0.860929597026939,0.0650323617552239
"tg569tg182_182_205_11",-0.0263424347266075,0.103306953846482,0.798729368201667,0.0976003468515619
"tg526_17",0.0696083672129598,0.102222036434594,0.495901448064194,0.304604623539157
"tg548tg140_182_226_10",-0.0572093214481512,0.101503884667838,0.573014771275449,0.241834182568853
"tg526tg161_182_183_18",0.0582703703049075,0.102387939093613,0.569279038293601,0.244674807267008
"tg462tg120_160_181_8",0.075033050350541,0.102312826480766,0.46333343039819,0.334106363484142
