"metabolite","apoe4","estimate","std_err","lower_ci","upper_ci"
"acetyl_alanine",1,0.219642957815216,0.345808240295439,-0.458141193163844,0.897427108794275
"creatine",0,0.153697964756757,0.201992266594589,-0.242206877768637,0.549602807282151
"creatine",1,0.0600868424900099,0.35541007146427,-0.636516897579959,0.756690582559978
"X_5_aminolevulinic_acid",0,0.244802098131127,0.208418057786595,-0.1636972951306,0.653301491392854
"X_5_aminolevulinic_acid",1,-0.0704913356456972,0.353878358867437,-0.764092919025874,0.623110247734479
"methyl_histidine",0,-0.205394555706501,0.196934777971526,-0.591386720530691,0.18059760911769
"methyl_histidine",1,-0.510417000843446,0.363211341316992,-1.22231122982475,0.201477228137859
"asparagine",0,0.0500695357398377,0.199655247109109,-0.341254748594016,0.441393820073692
"asparagine",1,0.137145940389301,0.348069637174028,-0.545070548471793,0.819362429250396
"carnitine",0,0.00385927300860149,0.205469451658604,-0.398860852242262,0.406579398259465
"carnitine",1,-0.565837452079212,0.339023729972773,-1.23032396282585,0.098649058667423
"glutamine_unc",0,-0.0519033206885157,0.20425158822663,-0.45223643361271,0.348429792235679
"glutamine_unc",1,0.0341552928546352,0.327032459405041,-0.606828327579244,0.675138913288515
"glutamine",0,0.168780979338972,0.201067428101032,-0.225311179739051,0.562873138416994
"glutamine",1,0.485615355478139,0.342542513707083,-0.185767971387743,1.15699868234402
"serine",0,-0.0379048096511061,0.198233879468531,-0.426443213409426,0.350633594107214
"serine",1,0.464688466688364,0.35414578173173,-0.229437265505827,1.15881419888256
"beta_alanine",0,-0.00174063957514433,0.198717285408606,-0.391226518976013,0.387745239825724
"beta_alanine",1,0.157944305055185,0.342608828189329,-0.5135689981959,0.82945760830627
"glycine",0,-0.0852775121819649,0.203313883036796,-0.483772722934084,0.313217698570154
"glycine",1,0.447924142565531,0.353044526997113,-0.24404313034881,1.13989141547987
"X_5_adenosyl_homocysteine__sah_",0,-0.148327441614807,0.203349966080646,-0.546893375132873,0.250238491903259
"X_5_adenosyl_homocysteine__sah_",1,0.450297144893932,0.341737978168202,-0.219509292315744,1.12010358210361
"histidine",0,-0.102796090017633,0.202418323742024,-0.499536004552,0.293943824516734
"histidine",1,-0.296469826425954,0.343841035037401,-0.97039825509926,0.377458602247351
"cystine",0,0.0463518867288387,0.208426873999172,-0.362164786309539,0.454868559767216
"cystine",1,0.19732018432191,0.33789904252386,-0.464961939024856,0.859602307668676
"citicholine",0,-0.0805391713152504,0.198367118161846,-0.469338722912469,0.308260380281968
"citicholine",1,0.42781280987632,0.360143713151997,-0.278068867901594,1.13369448765423
"guanosine_monophosphate__gmp_",0,0.162546602298693,0.203568849153036,-0.236448342041259,0.561541546638644
"guanosine_monophosphate__gmp_",1,0.522915480868038,0.353967555903005,-0.170860928701852,1.21669189043793
"citidine_monophosphate__cmp_",0,-0.27813994821739,0.204069296353683,-0.678115769070607,0.121835872635828
"citidine_monophosphate__cmp_",1,0.134176728868712,0.37104957132032,-0.593080430919116,0.861433888656539
"a_glycerophosphocholine",0,-0.288141592896246,0.20385822131486,-0.687703706673371,0.111420520880879
"a_glycerophosphocholine",1,-0.0331908818282873,0.323611641783573,-0.667469699724091,0.601087936067517
"glutathione_disulfide__gssg_",0,-0.211056783000235,0.200912943633374,-0.604846152521649,0.182732586521178
"glutathione_disulfide__gssg_",1,0.874938176584377,0.37617052886119,0.137643940016444,1.61223241315231
"anserine",0,-0.0808840928407657,0.206553720103574,-0.485729384243771,0.323961198562239
"anserine",1,-0.159691921205554,0.332045079809904,-0.810500277632967,0.491116435221858
"cystathione",0,-0.415093527856861,0.212463211606527,-0.831521422605654,0.00133436689193295
"cystathione",1,0.355714351902632,0.332375072632025,-0.295740790456137,1.0071694942614
"phosphoethanolamine",0,0.128617584208144,0.207238101173308,-0.27756909409154,0.534804262507828
"phosphoethanolamine",1,0.846677011596464,0.340340910353429,0.179608827303744,1.51374519588918
"phosphocholine",0,-0.0511952542545344,0.199735025340937,-0.44267590392277,0.340285395413702
"phosphocholine",1,0.306046096709891,0.326710213560298,-0.334305921868292,0.946398115288074
"choline",0,-0.177626416455365,0.210781835315639,-0.590758813674017,0.235505980763287
"choline",1,0.235732433068608,0.333286449790163,-0.417509008520112,0.888973874657328
"acetyl_lysine__alpha_",0,-0.0343863337803073,0.204319551238028,-0.434852654206842,0.366079986646227
"acetyl_lysine__alpha_",1,-0.552230182883969,0.340780095528461,-1.22015917011975,0.115698804351814
"adenosyl_methyonine__sam_",0,0.0903524130868217,0.197585262358297,-0.296914701135441,0.477619527309084
"adenosyl_methyonine__sam_",1,0.0557469690242213,0.330884128983309,-0.592785923783064,0.704279861831506
"ornithine",0,-0.192569769321574,0.197605290211307,-0.579876138135736,0.194736599492588
"ornithine",1,-0.329675265989077,0.348043313364182,-1.01184016018287,0.35248962820472
"citrulline",0,-0.00736313341240613,0.200313582885446,-0.39997775586788,0.385251489043067
"citrulline",1,-0.386153711091975,0.359744294002627,-1.09125252733712,0.318945105153174
"monomethylarginine__nmma_",0,-0.340901138383268,0.208149994974098,-0.7488751285325,0.0670728517659638
"monomethylarginine__nmma_",1,-0.253083503412321,0.332086477761064,-0.903972999824006,0.397805992999363
"arginine",0,0.236336598446222,0.200413248905146,-0.156473369407864,0.629146566300308
"arginine",1,-0.307385958085844,0.341010574284707,-0.975766683683869,0.360994767512182
"glutamic_acid__glutamate_",0,0.302230371160574,0.207454882823008,-0.104381199172522,0.70884194149367
"glutamic_acid__glutamate_",1,-0.528984256189441,0.335476290909755,-1.18651778637256,0.128549273993678
"lysine",0,0.191041086580141,0.202727336513105,-0.206304492985545,0.588386666145828
"lysine",1,-0.461792821442413,0.340900278798625,-1.12995736788772,0.206371725002892
"adma_sdma",0,-0.0407073102614352,0.207243037124319,-0.446903663025099,0.365489042502229
"adma_sdma",1,0.0502820276099756,0.331388512967348,-0.599239457806027,0.699803513025978
"X_1_5_ag___1_deoxyglucose",0,-0.57738959764506,0.227681947891439,-1.02364621551228,-0.13113297977784
