"lipid","estimate_aa","std_err_aa","estimate_ea","std_err_ea"
"tg563tg180_182_201_82",-0.0160927344211817,0.402788371742007,-0.456352514662854,0.287322417590707
"tg5641st_75",0.135163801486957,0.419057792653449,-0.5146544747196,0.277165489931337
"tg564tg181_182_201_75",-0.0992196594547445,0.408942080552326,-0.368325320311591,0.275857303948329
"tg565tg160_181_224_68",0.0372117057381338,0.421074622915293,-0.368684677615852,0.270125972500207
"tg565tg180_181_204_72",-0.445559542798063,0.440666526753849,-0.365341716937775,0.26941956916746
"tg565tg182_182_201_64",-0.179267443996398,0.396603595500686,-0.377310759518008,0.275851751441948
"tg566tg160_181_225_53",0.193901711401601,0.409365310379761,-0.260822990501851,0.2812097199402
"tg566tg180_182_204_59",-0.480198286030835,0.408837582022091,-0.361087489061249,0.270630455633287
"tg566tg181_181_204_60",-0.395885455060902,0.451964752561436,-0.254313563724542,0.268502972970066
"tg567tg160_181_226_46",-0.539425247761465,0.440131388547744,-0.0576300149189991,0.276126940790113
"tg567tg160_182_225_42",-0.379276223133679,0.415027608628591,-0.232382809936326,0.273331185912792
"tg5682nd_28",-0.628277021820057,0.397341071195106,-0.0244121310518345,0.280457291575192
"tg568tg160_182_226_34",-0.525356990637736,0.412099075451243,-0.115499113095715,0.278493045292792
"tg568tg181_182_205_28",-0.269590504806228,0.41274938568102,-0.231353446316715,0.281118733986306
"tg569tg160_183_226_13",-0.315594116677615,0.401995108937866,-0.112884734771406,0.283946256160933
"tg569tg161_182_226_12",-0.319171574129736,0.401832030029117,-0.109077317185378,0.282730034777609
"tg569tg182_182_205_11",-0.374499055331627,0.395029470340602,-0.00147004254579468,0.284356003611464
"tg5810tg160_204_226_24",-1.08593901266933,0.418759582564,0.155078854946157,0.288899742075978
"tg5810tg182_182_226_23",-0.397322084008589,0.393139147434227,-0.138628155320104,0.284114875415141
"tg5811tg160_205_226_19",-0.110995039954532,0.389298215701771,-0.128114995596184,0.26953934767539
"tg5811tg182_203_204_9",-0.915687395716142,0.411667237201691,0.0492215737377215,0.286459997578639
"tg5811tg183_204_204_7",-0.886447870300846,0.424340556712207,0.17261746752247,0.288937011264766
"tg5812tg182_205_205_1",-0.642442553276191,0.398806092907229,0.207451778852143,0.282059160798816
"tg587tg180_181_226_69",-0.0139828902128058,0.422137193564662,-0.181452575040584,0.268379474769173
"tg587tg181_181_225_70",-0.15212056079643,0.409867395865151,-0.312999611566036,0.267111052889514
"tg587tg181_182_224_56",-0.340176118100271,0.395439556046538,-0.451798513400085,0.273680175501042
"tg5881st_43",-0.504228980681899,0.408856939758533,-0.127008477407932,0.27233520753843
"tg588tg180_204_204_55",-0.93158060399515,0.471303070796385,-0.0510592064973343,0.271448601780755
"tg588tg181_181_226_48",-0.509066839981342,0.411251716566403,-0.0375808455431765,0.277711835089836
"tg588tg181_203_204_43",-0.414800258510099,0.399746370274336,-0.157040114702397,0.281380164871326
"tg5892nd_39",-0.143491088238393,0.388364104566232,-0.264210462134914,0.278238209665115
"tg589tg181_182_226_38",-0.430364750236688,0.396282215235208,-0.0880218213220035,0.285007915219386
"tg589tg182_182_225_39",-0.494199117577424,0.400786404086059,-0.204740931303081,0.282626177927618
"tg6011tg181_204_226_35",-1.17581078952736,0.475947262359875,0.0197847191666123,0.28860598514615
"tg6012tg160_226_226_29",-0.748391015142697,0.436203243351016,0.712826789828251,0.299658013263066
"tg6214tg182_226_226_15",-1.09336291099227,0.416823495434315,0.15312044306406,0.299375217864037
"X_pc321_2nd",-0.428872555488053,0.438845134956835,0.270437885313869,0.274618629105371
"X_pc321_pc160_161",-0.0853238610139722,0.404009308147066,0.229965892883931,0.269824208554889
